,Aircraft Model,Empty Weight (kg),Maximum Takeoff Weight (kg),Maximum Landing Weight (kg),Center of Gravity Limits,Wing Loading (kg/m²),Tail Loading (kg/m²),Fuel Capacity (liters),Number of Passengers,Cargo Capacity (kg),Maximum Altitude (ft),Maximum Speed (knots),Engine Type,Fuselage Length (m)
0,Airbus A320,149968.1874546139,279525.0909793914,255896.4902935777,25%-35% of MAC,818.5582814564265,124.78836367893288,52538.23616666533,472,80061.73228932227,44470,658,Turbofan,41.72681732259252
1,Boeing 777,140855.87989144702,145055.1739150571,143703.31458354538,15%-30% of MAC,366.42323014817896,111.74318208866032,298000.265987106,257,27118.72519235989,31739,495,Turbofan,54.40279890181365
2,Airbus A320,151024.59890782155,534343.948027486,270662.9043041731,20%-35% of MAC,829.1459026314626,138.67269525124294,176299.25460117726,172,1002.2091102762338,24398,585,Turboprop,28.86408637920646
3,Airbus A320,180889.45477210556,815185.8413487144,183594.48716227445,15%-30% of MAC,290.84590898217107,169.24946325387629,51211.63019410999,444,75726.08354451139,26793,632,Turboprop,46.11161086732366
4,Embraer E190,113855.17328623834,439094.3422988951,233683.8839436061,20%-35% of MAC,509.8489194589856,32.28288466826419,494662.50125804497,55,45268.32206473572,30982,663,Piston,80.39475330862832
5,Embraer E190,236729.19314616863,1138952.5242484475,854298.1809699021,25%-35% of MAC,543.2910912678158,20.334138652307445,357994.5999786257,328,56178.045070964414,55066,554,Turbofan,69.43874346255326
6,Cessna 172,297983.77569385734,1272807.228051949,1126506.798875485,20%-35% of MAC,733.6174550533267,112.19769172332418,222825.2438173972,110,86748.17794308589,21373,516,Piston,74.32420347666675
7,Boeing 737-800,280603.81688257254,302206.5901222475,293754.9177302076,25%-35% of MAC,440.424290671852,80.24987209193839,275771.9773111756,180,76348.12447010614,30947,608,Turbofan,44.52651819153941
8,Boeing 747-8,214038.93544111808,952097.8521842436,404837.34240604617,20%-40% of MAC,582.3973430606761,26.221354197008893,308066.43500253174,319,26065.46813978863,39719,587,Turbofan,94.06838478082976
9,Airbus A320,154058.1323870687,755415.7124073316,599405.4118928581,20%-40% of MAC,471.443154748494,181.54663290568024,95243.90456253034,88,45182.1350730228,46354,692,Piston,64.78478480005384
10,Boeing 737-800,41456.47965394635,72212.60005268743,42996.02082830608,35%-45% of MAC,872.7919916171586,182.31554983826248,393243.4085254902,485,14045.238653891,23251,656,Turbofan,88.73681431591592
